,Behavior,Amblystegium_serpens,Antitrichia_californica,Aulacomnium_androgynum,Brachythecium_frigidum,Bryhnia_Kindbergia_Brachythecium,Bryum_sp_sauteri,Ceratodon_purpureus,Dicranoweisa_sp_cirrata,Dicranum_sp_tauricum,Fontinalis_antipyretica,Funaria_sp_polaris,Grimmia_pulvinata,Isothecium_myosuroides,Marchantia,Orthitrichum_sp_consimile,Polytrichum_sp,Pterigynandrum_filiforme_Pterigynandrum_spp,Racomitrium_elongatum,Rhytiadelphus_triquetrus,Sanionia_sp_uncinata,Straminergon_stramineum,Syntrichia_ruralis,Ulota,Zygodon_intermedius
AMRO,ground,0,0,1,0,0,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BHGR,foliage,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
BTYW,foliage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CBCH,foliage,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CEDW,foliage,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHSP,ground,0,0,1,0,1,0,6,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0
DUFL,air,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIN,ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GRAJ,ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HAFL,air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
HAWO,bark,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HEWA,foliage,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1
HETH,foliage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAZB,ground,0,0,2,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
MGWA,foliage,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
ORJU,ground,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
PAWR,ground,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
PSFL,air,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBSA,bark,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
RSFL,air,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUHU,flower,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSP,ground,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPTO,ground,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
STJA,ground,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWTH,foliage,6,0,10,1,6,0,4,2,1,1,0,0,12,0,1,0,4,2,1,2,6,0,0,0
WCSP,ground,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WETA,foliage,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WIWA,foliage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
