,Aulacomnium_androgynum,Bryum_sp_sauteri,Ceratodon_purpureus,Sanionia_sp_uncinata,Antitrichia_californica,Orthitrichum_sp_consimile,Racomitrium_elongatum,Pterigynandrum_filiforme_Pterigynandrum_spp,Isothecium_myosuroides,Bryhnia_Kindbergia_Brachythecium,Funaria_sp_polaris,Polytrichum_sp,Ulota,Zygodon_intermedius,Grimmia_pulvinata,Marchantia,Brachythecium_frigidum,Straminergon_stramineum,Syntrichia_ruralis,Dicranum_sp_tauricum,Amblystegium_serpens,Dicranoweisa_sp_cirrata,Fontinalis_antipyretica,Rhytiadelphus_triquetrus
Thrush,11,2,11,1,0,0,1,4,11,4,0,0,0,0,0,0,0,5,0,1,6,2,1,1
Tanagers_Allies,2,0,2,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Warblers,1,0,3,0,1,0,2,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Chickadees,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waxwings,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparrows_Allies,9,0,8,0,0,0,4,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Flycatchers,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Woodpeckers,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Wrens,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hummingbirds,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvids,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
