"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"AMRO",4,0.324480656454531,0.850324246134256,0.114863006363272,1,-4.57800649947,0.001,999
"BHGR",3,0.21964172114489,0.359145060294748,0.0902678807106358,35,-1.54543718154914,0.035,999
"BTYW",1,NA,NA,NA,NA,NA,NA,999
"CBCH",3,0.137768127953363,0.801555798680729,0.111450701013751,1,-5.95588600780061,0.001,999
"CEDW",1,NA,NA,NA,NA,NA,NA,999
"CHSP",6,0.295944529246599,0.985552553096255,0.104825062069315,1,-6.57865600302396,0.001,999
"DUFL",1,NA,NA,NA,NA,NA,NA,999
"FLIN",1,NA,NA,NA,NA,NA,NA,999
"GRAJ",1,NA,NA,NA,NA,NA,NA,999
"HAFL",2,0,0.280541314184599,0.0783183411969828,1,-3.58206404651745,0.001,999
"HAWO",2,0.00217657507728581,0.493149925543721,0.105495706509933,1,-4.65396523431223,0.001,999
"HEWA",4,0.120666668478644,0.332463562207374,0.0877411735622814,1,-2.41388261781557,0.001,999
"HETH",1,NA,NA,NA,NA,NA,NA,999
"LAZB",6,0.175977594351703,0.939421795543006,0.111227633934201,1,-6.86379970685103,0.001,999
"MGWA",4,0.156786703769053,0.933872627593686,0.111801724652407,1,-6.95057188286317,0.001,999
"ORJU",5,0.156786703769053,0.933872627593686,0.111801724652407,1,-6.95057188286317,0.001,999
"PAWR",5,0.2352049463228,0.869947096924807,0.11548731297234,1,-5.49620676302366,0.001,999
"PSFL",1,NA,NA,NA,NA,NA,NA,999
"RBSA",4,0.20612978940348,0.359326169495197,0.0887515381886442,19,-1.7261264786881,0.019,999
"RSFL",1,NA,NA,NA,NA,NA,NA,999
"RUHU",1,NA,NA,NA,NA,NA,NA,999
"SOSP",2,0.0721525023252673,0.570771773175071,0.109571454501284,1,-4.55063112121013,0.001,999
"SPTO",4,0.25212997264387,0.716799920509686,0.114891896738467,1,-4.04441010251196,0.001,999
"STJA",2,0.11338206366309,0.669116994315185,0.11243531378054,1,-4.94270805110947,0.001,999
"SWTH",15,0.522792127225481,1.10896530692967,0.0893789221604925,1,-6.55829322546133,0.001,999
"WCSP",1,NA,NA,NA,NA,NA,NA,999
"WETA",1,NA,NA,NA,NA,NA,NA,999
"WIWA",1,NA,NA,NA,NA,NA,NA,999
